ClimateZone	nTaxa	Average path length	Transitivity	Modularity	Density	Run
BSk	58	0.267215864151724	0.0625	0.860239421319136	0.0229885057471264	7
BWh	58	0.0165594741269973	0	0.781590648463938	0.00483968542044767	7
BWk	58	0.0267325007009219		0.673486269378257	0.00241984271022384	7
Cfa	58	0.101126375446781	0	0.856492012756629	0.0139140955837871	7
Cfb	58	0.312816410176264	0.342857142857143	0.783299977189708	0.0272232304900182	7
Csa	58	0.150232178577595	0	0.887594423715068	0.00967937084089534	7
Csb	58	0.253032612240615	0.1	0.783950665848557	0.0157289776164549	7
Cwb	58	0.128546071969197	0.24	0.741999598591331	0.0139140955837871	7
Dfa	58	0.114929400160748	0.45	0.738461244271544	0.0120992135511192	7
Dfb	58	0.197010975040756	0	0.824811209529205	0.015124016938899	7
Dfc	58	0.191582874096426	0.0857142857142857	0.818679038159104	0.0193587416817907	7
Dwb	58	0.339547975173757	0	0.897622202629094	0.0133091349062311	7
Dwc	58	0.141416155690207	0.363636363636364	0.870848648802973	0.0193587416817907	7
EF	58	0.439085066215771	0.173913043478261	0.854340422356173	0.0284331518451301	7
ET	58	0.318639858262754	0.214285714285714	0.682549456121984	0.0278281911675741	7
Af	58	0.357370530108134	0	0.741378936720251	0.0139140955837871	8
Am	58	0.207715838513195	0.314285714285714	0.684968989930335	0.029643073200242	8
Aw	58	0.282109859953338	0.12	0.795850419371657	0.0235934664246824	8
BSh	58	0.286986905830174	0	0.81435529673511	0.0114942528735632	8
BSk	58	0.420354314681466	0.0681818181818182	0.79848610958717	0.0217785843920145	8
BWh	58	0.0221924751831547	0	0.845650287122053	0.00604960677555959	8
BWk	58	0.0198027855806167		0.599049190111128	0.00241984271022384	8
Cfa	58	0.223624501420219	0.287671232876712	0.804500543457245	0.0254083484573503	8
Cfb	58	0.190184935128003	0.234375	0.826183702599639	0.0302480338777979	8
Csa	58	0.114321892488044	0	0.879859834202659	0.00725952813067151	8
Csb	58	0.161065133189185	0.115384615384615	0.743557640218814	0.0211736237144586	8
Cwb	58	0.338657434039264	0	0.674087241512872	0.015124016938899	8
Dfa	58	0.22709986749669	0.2	0.741375970675328	0.0108892921960073	8
Dfb	58	0.175109689217427	0	0.896596954003039	0.0139140955837871	8
Dfc	58	0.207039514486521	0.176470588235294	0.857295072363572	0.0223835450695705	8
Dwb	58	0.12182898786014	0	0.899079748647124	0.0133091349062311	8
Dwc	58	0.143623547649767	0.243243243243243	0.719049309059603	0.0163339382940109	8
EF	58	0.710521975887895	0.15	0.807695300285444	0.0338777979431337	8
ET	58	0.188830061710624	0	0.853229997320435	0.015124016938899	8
Af	58	0.109318913989476	0.12	0.856571112097383	0.0211736237144586	9
Am	58	0.184915696895002	0.155172413793103	0.75304924404416	0.0223835450695705	9
Aw	58	0.175471206180318	0.204545454545455	0.803805389135576	0.0205686630369026	9
BSh	58	0.221187805900892	0	0.7857587054974	0.0127041742286751	9
BSk	58	0.374816057414674	0.1875	0.827014310543324	0.0187537810042347	9
BWh	58	0.0200610800002444	0	0.785317243128587	0.00544464609800363	9
BWk	58	0.0187880103633147		0.499848831586066	0.00120992135511192	9
Cfa	58	0.319307473051535	0.315789473684211	0.828564770350212	0.0241984271022384	9
Cfb	58	0.331485179319863	0.09375	0.771154120959007	0.0193587416817907	9
Csa	58	0.133535802245466	0	0.874829977666366	0.00907441016333938	9
Csb	58	0.330313811653606	0.346153846153846	0.751957981461192	0.0163339382940109	9
Cwb	58	0.406619921116122	0.230769230769231	0.634802645694484	0.0229885057471264	9
Dfa	58	0.170953668301164	0.235294117647059	0.687972734620821	0.0181488203266788	9
Dfb	58	0.31096159814011	0.0909090909090909	0.806884310350469	0.0193587416817907	9
Dfc	58	0.306149490845949	0.205479452054795	0.806595866705484	0.0260133091349062	9
Dwb	58	0.192927829006624	0.157894736842105	0.877997575000215	0.0157289776164549	9
Dwc	58	0.26052192878227	0.0666666666666667	0.808149503921779	0.0223835450695705	9
EF	58	0.515051494623472	0.197368421052632	0.793943858319098	0.029038112522686	9
ET	58	0.260086575268078	0.163636363636364	0.856589543673143	0.0241984271022384	9
Af	58	0.137014909168014	0.230769230769231	0.82835570786683	0.0187537810042347	10
