"ClimateZone","level","from","to","x","n","n1","n2","pvalue","p.adj"
"Af","Class","alphaproteobacteria","unassigned",3,919,39,12169,0.337659691894964,0.423325441482156
"Af","Class","bacilli","bacilli",1,919,12,12196,0.227088489222263,0.316137220275343
"Af","Class","bacilli","chloracidobacteria",2,919,15,12193,0.0981209518111064,0.176446221252295
"Af","Class","bacilli","gammaproteobacteria",1,919,17,12191,0.369855494936268,0.453423903324339
"Af","Class","bacilli","gemmatimonadetes",3,919,13,12195,0.0131603210751974,0.0534098895924829
"Af","Class","bacilli","nitrospira",1,919,3,12205,0.0161328421377018,0.0578212032566607
"Af","Class","bacilli","opitutae",1,919,5,12203,0.0485746266781192,0.111950876721603
"Af","Class","bacilli","solibacteres",1,919,7,12201,0.0922695340456144,0.168717694572642
"Af","Class","bacilli","thermoleophilia",1,919,13,12195,0.25585121894103,0.345138241931781
"Af","Class","betaproteobacteria","betaproteobacteria",7,919,124,12084,0.72499074843607,0.764238919487251
"Af","Class","betaproteobacteria","c6",1,919,15,12193,0.313367318124383,0.399358242870038
"Af","Class","betaproteobacteria","chloracidobacteria",7,919,89,12119,0.354587120833461,0.439130554279822
"Af","Class","betaproteobacteria","chloroplast",3,919,13,12195,0.0131603210751974,0.0534098895924829
"Af","Class","betaproteobacteria","clostridia",2,919,4,12204,0.00160546180998955,0.0153000785871388
"Af","Class","betaproteobacteria","cytophagia",3,919,9,12199,0.00295693442271217,0.0240915609249642
"Af","Class","betaproteobacteria","deltaproteobacteria",15,919,120,12088,0.0177835379900207,0.0616249503571031
"Af","Class","betaproteobacteria","ellin6529",3,919,26,12182,0.12760772572984,0.210715828458983
"Af","Class","betaproteobacteria","elusimicrobia",1,919,4,12204,0.0306602224654142,0.0846440475787835
"Af","Class","betaproteobacteria","fimbriimonadia",1,919,2,12206,0.00566115084903374,0.0309407027928764
"Af","Class","betaproteobacteria","flavobacteriia",2,919,8,12200,0.0178694715411029,0.0617430248024673
"Af","Class","betaproteobacteria","gammaproteobacteria",7,919,113,12095,0.623799180007729,0.676523178630283
"Af","Class","betaproteobacteria","gemmatimonadetes",4,919,44,12164,0.234266883866836,0.323643632017606
"Af","Class","betaproteobacteria","methylacidiphilae",1,919,5,12203,0.0485746266781192,0.111950876721603
"Af","Class","betaproteobacteria","nitrospira",1,919,25,12183,0.571247804911861,0.631612498326428
"Af","Class","betaproteobacteria","pedosphaerae",2,919,37,12171,0.534672913339125,0.60069615257054
"Af","Class","betaproteobacteria","planctomycetia",8,919,42,12166,0.00346531735160882,0.0267036105485972
