"level","from","to","No. of climate zones","Climate zones"
"Class","alphaproteobacteria","gemmatimonadetes",3,"Cfb/Dfa/Dfb"
"Class","alphaproteobacteria","deltaproteobacteria",1,"Csa"
"Class","alphaproteobacteria","opitutae",1,"Csa"
"Class","alphaproteobacteria","pedosphaerae",1,"Csa"
"Class","alphaproteobacteria","saprospirae",1,"Csa"
"Class","alphaproteobacteria","unassigned",1,"Csa"
"Class","alphaproteobacteria","verrucomicrobiae",1,"Csa"
"Class","alphaproteobacteria","elusimicrobia",3,"Csb/Cwb/Dwb"
"Class","alphaproteobacteria","planctomycetia",2,"Cwb/Dwb"
"Class","alphaproteobacteria","betaproteobacteria",1,"Dfa"
"Class","alphaproteobacteria","zetaproteobacteria",1,"Dfa"
"Class","alphaproteobacteria","alphaproteobacteria",1,"Dfc"
"Class","alphaproteobacteria","clostridia",1,"EF"
"Class","alphaproteobacteria","ellin6529",1,"EF"
"Class","alphaproteobacteria","thermoleophilia",1,"EF"
"Class","alphaproteobacteria","fibrobacteria",1,"ET"
"Class","anaerolineae","ellin6529",1,"Af"
"Class","anaerolineae","methylacidiphilae",1,"Af"
"Class","anaerolineae","saprospirae",2,"Af/Csa"
"Class","anaerolineae","da052",2,"Am/Aw"
"Class","anaerolineae","chloroflexi",1,"BSk"
"Class","anaerolineae","fimbriimonadia",1,"BSk"
"Class","anaerolineae","om190",1,"Cfa"
"Class","anaerolineae","sphingobacteriia",1,"Cfa"
"Class","anaerolineae","chloracidobacteria",2,"Cfa/Cfb"
"Class","anaerolineae","pla4",2,"Cfa/Csb"
"Class","anaerolineae","bacilli",1,"Cfb"
"Class","anaerolineae","planctomycetia",1,"Cfb"
"Class","anaerolineae","spartobacteria",1,"Cfb"
"Class","anaerolineae","chloroplast",2,"Cfb/Csb"
"Class","anaerolineae","phycisphaerae",2,"Cfb/Dwb"
"Class","anaerolineae","betaproteobacteria",1,"Dfa"
"Class","anaerolineae","deltaproteobacteria",1,"Dfa"
"Class","anaerolineae","sm2f11",1,"Dfa"
"Class","anaerolineae","vadinha49",1,"Dfb"
"Class","anaerolineae","fibrobacteria",1,"Dfc"
"Class","anaerolineae","opitutae",1,"Dwb"
"Class","anaerolineae","sva0725",1,"Dwb"
"Class","anaerolineae","flavobacteriia",1,"EF"
"Class","anaerolineae","gammaproteobacteria",1,"EF"
"Class","anaerolineae","solibacteres",1,"EF"
"Class","anaerolineae","leptospirae",1,"ET"
"Class","bacilli","chloroflexi",1,"Am"
"Class","bacilli","opitutae",1,"Am"
"Class","bacilli","tm1",1,"Aw"
"Class","bacilli","fimbriimonadia",2,"Aw/Cfb"
"Class","bacilli","solibacteres",2,"Aw/EF"
"Class","bacilli","elusimicrobia",1,"BSh"
"Class","bacilli","phycisphaerae",1,"BSh"
"Class","bacilli","deltaproteobacteria",2,"BSk/Dwb"
"Class","bacilli","planctomycetia",2,"BSk/ET"
"Class","bacilli","thermoleophilia",4,"BWh/BWk/Cfa/Csa"
"Class","bacilli","pedosphaerae",2,"BWh/Csa"
"Class","bacilli","betaproteobacteria",2,"BWk/Csb"
"Class","bacilli","pauc37f",1,"Cfa"
"Class","bacilli","spartobacteria",1,"Cfa"
"Class","bacilli","bacilli",1,"Csa"
"Class","bacilli","chloracidobacteria",1,"Csa"
"Class","bacilli","gammaproteobacteria",1,"Csa"
"Class","bacilli","unassigned",1,"Csa"
"Class","bacilli","verrucomicrobiae",1,"Csa"
"Class","bacilli","saprospirae",2,"Csa/Csb"
"Class","bacilli","cytophagia",1,"Csb"
"Class","bacilli","pla4",1,"Csb"
"Class","bacilli","s085",1,"Cwb"
"Class","bacilli","da052",1,"Dfa"
"Class","bacilli","nitrospira",1,"Dfb"
"Class","bacilli","om190",1,"Dfc"
"Class","bacilli","zetaproteobacteria",1,"Dfc"
"Class","bacilli","rb25",1,"Dwb"
"Class","bacilli","sva0725",1,"Dwb"
"Class","bacilli","ellin6529",1,"Dwc"
"Class","bacilli","gemmatimonadetes",1,"Dwc"
"Class","bacilli","sphingobacteriia",1,"EF"
"Class","betaproteobacteria","deltaproteobacteria",1,"Am"
"Class","betaproteobacteria","nitrospira",1,"Am"
"Class","betaproteobacteria","om190",1,"Am"
"Class","betaproteobacteria","rb25",1,"Am"
"Class","betaproteobacteria","sva0725",1,"Am"
"Class","betaproteobacteria","da052",2,"Am/Aw"
