"No. of Samples","No. of ESVs","Freq of Samples","Freq. of ESVs","cumsumFreq ESVs"
1301,1,0.304043,6e-06,0.99636
1303,2,0.30451,1.2e-05,0.996372
1305,2,0.304978,1.2e-05,0.996384
1306,2,0.305211,1.2e-05,0.996396
1307,1,0.305445,6e-06,0.996402
1310,1,0.306146,6e-06,0.996408
1312,2,0.306614,1.2e-05,0.99642
1313,2,0.306847,1.2e-05,0.996432
1316,1,0.307548,6e-06,0.996438
1319,1,0.30825,6e-06,0.996444
1320,1,0.308483,6e-06,0.99645
1321,2,0.308717,1.2e-05,0.996462
1322,1,0.308951,6e-06,0.996468
1324,2,0.309418,1.2e-05,0.99648
1325,2,0.309652,1.2e-05,0.996492
1326,1,0.309885,6e-06,0.996498
1327,3,0.310119,1.8e-05,0.996516
1328,1,0.310353,6e-06,0.996522
1329,1,0.310587,6e-06,0.996528
1331,1,0.311054,6e-06,0.996534
1334,4,0.311755,2.4e-05,0.996558
1335,1,0.311989,6e-06,0.996564
1336,1,0.312222,6e-06,0.99657
1337,2,0.312456,1.2e-05,0.996582
1339,1,0.312924,6e-06,0.996588
1340,2,0.313157,1.2e-05,0.9966
1341,2,0.313391,1.2e-05,0.996612
1343,1,0.313858,6e-06,0.996618
1345,1,0.314326,6e-06,0.996624
1346,2,0.314559,1.2e-05,0.996636
1347,2,0.314793,1.2e-05,0.996648
1354,2,0.316429,1.2e-05,0.99666
1355,1,0.316663,6e-06,0.996666
1356,1,0.316896,6e-06,0.996672
1357,1,0.31713,6e-06,0.996678
1358,1,0.317364,6e-06,0.996684
1359,2,0.317598,1.2e-05,0.996696
1361,1,0.318065,6e-06,0.996702
1362,1,0.318299,6e-06,0.996708
1366,3,0.319233,1.8e-05,0.996726
1367,1,0.319467,6e-06,0.996732
1368,2,0.319701,1.2e-05,0.996744
1369,1,0.319935,6e-06,0.99675
1374,1,0.321103,6e-06,0.996756
1375,2,0.321337,1.2e-05,0.996768
1376,1,0.32157,6e-06,0.996774
1378,1,0.322038,6e-06,0.99678
1379,3,0.322272,1.8e-05,0.996798
1380,1,0.322505,6e-06,0.996804
1384,1,0.32344,6e-06,0.99681
1388,4,0.324375,2.4e-05,0.996834
1390,1,0.324842,6e-06,0.99684
1391,2,0.325076,1.2e-05,0.996852
1392,2,0.32531,1.2e-05,0.996864
