"ClimateZone","level","from","to","N","Freq","cumsum Freq"
"Af","Class","gammaproteobacteria","unassigned",13,0.00310410697230182,0.529130850047756
"Af","Class","planctomycetia","tk10",13,0.00310410697230182,0.532234957020057
"Af","Class","deltaproteobacteria","opitutae",12,0.00286532951289398,0.535100286532951
"Af","Class","betaproteobacteria","betaproteobacteria",12,0.00286532951289398,0.537965616045845
"Af","Class","thermoleophilia","unassigned",12,0.00286532951289398,0.540830945558739
"Af","Class","betaproteobacteria","pedosphaerae",12,0.00286532951289398,0.543696275071633
"Af","Class","actinobacteria","solibacteres",12,0.00286532951289398,0.546561604584527
"Af","Class","gemmatimonadetes","gemmatimonadetes",12,0.00286532951289398,0.549426934097421
"Af","Class","1","alphaproteobacteria",11,0.00262655205348615,0.552053486150907
"Af","Class","alphaproteobacteria","elusimicrobia",11,0.00262655205348615,0.554680038204394
"Af","Class","gammaproteobacteria","planctomycetia",11,0.00262655205348615,0.55730659025788
"Af","Class","chloracidobacteria","phycisphaerae",11,0.00262655205348615,0.559933142311366
"Af","Class","alphaproteobacteria","sphingobacteriia",11,0.00262655205348615,0.562559694364852
"Af","Class","gemmatimonadetes","unassigned",11,0.00262655205348615,0.565186246418338
"Af","Class","alphaproteobacteria","verrucomicrobiae",10,0.00238777459407832,0.567574021012416
"Af","Class","deltaproteobacteria","nitrospira",10,0.00238777459407832,0.569961795606495
"Af","Class","alphaproteobacteria","cytophagia",10,0.00238777459407832,0.572349570200573
"Af","Class","8","alphaproteobacteria",10,0.00238777459407832,0.574737344794651
"Af","Class","acidobacteriia","gammaproteobacteria",10,0.00238777459407832,0.57712511938873
"Af","Class","alphaproteobacteria","spartobacteria",10,0.00238777459407832,0.579512893982808
"Af","Class","pedosphaerae","solibacteres",10,0.00238777459407832,0.581900668576886
"Af","Class","acidobacteriia","planctomycetia",10,0.00238777459407832,0.584288443170965
"Af","Class","acidobacteriia","unassigned",10,0.00238777459407832,0.586676217765043
"Af","Class","deltaproteobacteria","ellin6529",10,0.00238777459407832,0.589063992359121
"Af","Class","gammaproteobacteria","thermoleophilia",10,0.00238777459407832,0.5914517669532
"Af","Class","actinobacteria","phycisphaerae",10,0.00238777459407832,0.593839541547278
"Af","Class","betaproteobacteria","gemmatimonadetes",9,0.00214899713467049,0.595988538681949
"Af","Class","12","prr",9,0.00214899713467049,0.598137535816619
"Af","Class","chloracidobacteria","unassigned",9,0.00214899713467049,0.600286532951289
"Af","Class","elusimicrobia","unassigned",9,0.00214899713467049,0.60243553008596
"Af","Class","acidimicrobiia","chloracidobacteria",9,0.00214899713467049,0.60458452722063
"Af","Class","ellin6529","thermoleophilia",9,0.00214899713467049,0.606733524355301
"Af","Class","nitrospira","thermoleophilia",9,0.00214899713467049,0.608882521489971
"Af","Class","acidimicrobiia","betaproteobacteria",9,0.00214899713467049,0.611031518624642
"Af","Class","opitutae","planctomycetia",9,0.00214899713467049,0.613180515759312
"Af","Class","planctomycetia","verrucomicrobiae",9,0.00214899713467049,0.615329512893983
"Af","Class","gammaproteobacteria","solibacteres",9,0.00214899713467049,0.617478510028653
"Af","Class","acidobacteriia","solibacteres",9,0.00214899713467049,0.619627507163324
"Af","Class","actinobacteria","unassigned",9,0.00214899713467049,0.621776504297994
"Af","Class","actinobacteria","nitrospira",9,0.00214899713467049,0.623925501432665
"Af","Class","1","actinobacteria",9,0.00214899713467049,0.626074498567335
"Af","Class","pedosphaerae","phycisphaerae",9,0.00214899713467049,0.628223495702006
"Af","Class","12","alphaproteobacteria",9,0.00214899713467049,0.630372492836676
"Af","Class","actinobacteria","gammaproteobacteria",9,0.00214899713467049,0.632521489971347
"Af","Class","acidobacteriia","thermoleophilia",9,0.00214899713467049,0.634670487106017
"Af","Class","acidimicrobiia","gemmatimonadetes",9,0.00214899713467049,0.636819484240688
"Af","Class","deltaproteobacteria","tk10",9,0.00214899713467049,0.638968481375358
"Af","Class","elusimicrobia","elusimicrobia",8,0.00191021967526266,0.640878701050621
"Af","Class","alphaproteobacteria","s085",8,0.00191021967526266,0.642788920725884
"Af","Class","cytophagia","deltaproteobacteria",8,0.00191021967526266,0.644699140401146
"Af","Class","chloracidobacteria","solibacteres",8,0.00191021967526266,0.646609360076409
"Af","Class","saprospirae","unassigned",8,0.00191021967526266,0.648519579751671
"Af","Class","12","planctomycetia",8,0.00191021967526266,0.650429799426934
"Af","Class","alphaproteobacteria","pauc37f",8,0.00191021967526266,0.652340019102197
"Af","Class","betaproteobacteria","solibacteres",8,0.00191021967526266,0.654250238777459
"Af","Class","solibacteres","thermoleophilia",8,0.00191021967526266,0.656160458452722
"Af","Class","pedosphaerae","sphingobacteriia",8,0.00191021967526266,0.658070678127985
"Af","Class","alphaproteobacteria","da052",8,0.00191021967526266,0.659980897803247
"Af","Class","actinobacteria","saprospirae",8,0.00191021967526266,0.66189111747851
"Af","Class","gammaproteobacteria","gammaproteobacteria",8,0.00191021967526266,0.663801337153773
"Af","Class","acidimicrobiia","phycisphaerae",8,0.00191021967526266,0.665711556829035
"Af","Class","actinobacteria","verrucomicrobiae",8,0.00191021967526266,0.667621776504298
"Af","Class","phycisphaerae","unassigned",8,0.00191021967526266,0.669531996179561
"Af","Class","gemmatimonadetes","thermoleophilia",8,0.00191021967526266,0.671442215854823
"Af","Class","actinobacteria","tk10",8,0.00191021967526266,0.673352435530086
"Af","Class","phycisphaerae","verrucomicrobiae",7,0.00167144221585482,0.675023877745941
"Af","Class","saprospirae","thermoleophilia",7,0.00167144221585482,0.676695319961796
"Af","Class","gemmatimonadetes","saprospirae",7,0.00167144221585482,0.67836676217765
"Af","Class","pedosphaerae","saprospirae",7,0.00167144221585482,0.680038204393505
"Af","Class","planctomycetia","s085",7,0.00167144221585482,0.68170964660936
"Af","Class","2","gemm",7,0.00167144221585482,0.683381088825215
"Af","Class","acidobacteriia","pedosphaerae",7,0.00167144221585482,0.68505253104107
"Af","Class","gammaproteobacteria","saprospirae",7,0.00167144221585482,0.686723973256925
"Af","Class","1","chloracidobacteria",7,0.00167144221585482,0.688395415472779
"Af","Class","deltaproteobacteria","verrucomicrobiae",7,0.00167144221585482,0.690066857688634
"Af","Class","phycisphaerae","solibacteres",7,0.00167144221585482,0.691738299904489
"Af","Class","acidimicrobiia","gammaproteobacteria",7,0.00167144221585482,0.693409742120344
"Af","Class","betaproteobacteria","phycisphaerae",7,0.00167144221585482,0.695081184336199
"Af","Class","ellin6529","gammaproteobacteria",7,0.00167144221585482,0.696752626552054
"Af","Class","cytophagia","unassigned",7,0.00167144221585482,0.698424068767908
"Af","Class","alphaproteobacteria","om190",7,0.00167144221585482,0.700095510983763
"Af","Class","alphaproteobacteria","ellin6529",7,0.00167144221585482,0.701766953199618
"Af","Class","cytophagia","planctomycetia",6,0.00143266475644699,0.703199617956065
"Af","Class","cytophagia","gammaproteobacteria",6,0.00143266475644699,0.704632282712512
"Af","Class","pedosphaerae","unassigned",6,0.00143266475644699,0.706064947468959
"Af","Class","6","acidimicrobiia",6,0.00143266475644699,0.707497612225406
"Af","Class","actinobacteria","opitutae",6,0.00143266475644699,0.708930276981853
"Af","Class","anaerolineae","deltaproteobacteria",6,0.00143266475644699,0.7103629417383
"Af","Class","acidobacteriia","betaproteobacteria",6,0.00143266475644699,0.711795606494747
"Af","Class","acidimicrobiia","nitrospira",6,0.00143266475644699,0.713228271251194
"Af","Class","saprospirae","solibacteres",6,0.00143266475644699,0.714660936007641
"Af","Class","fimbriimonadia","planctomycetia",6,0.00143266475644699,0.716093600764088
"Af","Class","elusimicrobia","fimbriimonadia",6,0.00143266475644699,0.717526265520535
"Af","Class","elusimicrobia","gammaproteobacteria",6,0.00143266475644699,0.718958930276982
"Af","Class","deltaproteobacteria","spartobacteria",6,0.00143266475644699,0.720391595033429
"Af","Class","chloracidobacteria","pedosphaerae",6,0.00143266475644699,0.721824259789876
"Af","Class","actinobacteria","pedosphaerae",6,0.00143266475644699,0.723256924546323
"Af","Class","chloracidobacteria","nitrospira",6,0.00143266475644699,0.72468958930277
"Af","Class","om190","planctomycetia",6,0.00143266475644699,0.726122254059217
"Af","Class","gemmatimonadetes","phycisphaerae",6,0.00143266475644699,0.727554918815664
"Af","Class","betaproteobacteria","unassigned",6,0.00143266475644699,0.728987583572111
"Af","Class","c6","deltaproteobacteria",6,0.00143266475644699,0.730420248328558
"Af","Class","phycisphaerae","sphingobacteriia",6,0.00143266475644699,0.731852913085005
