"variable",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Modularity","value","Dfc","EF",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Dfc","ET",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","Dwb","Dwc",100,100,529,8.93e-28,1.16e-27,"****"
"Modularity","value","Dwb","EF",100,100,9842,2.74e-32,4.11e-32,"****"
"Modularity","value","Dwb","ET",100,100,9998,2.72e-34,5.29e-34,"****"
"Modularity","value","Dwc","EF",100,100,9997,2.8e-34,5.35e-34,"****"
"Modularity","value","Dwc","ET",100,100,10000,2.56e-34,5.27e-34,"****"
"Modularity","value","EF","ET",100,100,5028,0.946,0.946,"ns"
"Transitivity","value","Af","Am",100,100,3451,0.000155,0.000201,"***"
"Transitivity","value","Af","Aw",100,100,2076,9.12e-13,1.41e-12,"****"
"Transitivity","value","Af","BSk",100,100,0,2.56e-34,8.95e-34,"****"
"Transitivity","value","Af","Cfa",100,100,5777,0.058,0.066,"ns"
"Transitivity","value","Af","Cfb",100,100,6246,0.002,0.003,"**"
"Transitivity","value","Af","Csa",100,100,4,2.89e-34,8.95e-34,"****"
"Transitivity","value","Af","Csb",100,100,5365,0.373,0.392,"ns"
"Transitivity","value","Af","Dfa",100,100,5549,0.18,0.197,"ns"
"Transitivity","value","Af","Dfb",100,100,6325.5,0.001,0.001,"**"
"Transitivity","value","Af","Dfc",100,100,4870,0.752,0.759,"ns"
"Transitivity","value","Af","Dwb",100,100,1265,7.18e-20,1.35e-19,"****"
"Transitivity","value","Af","Dwc",100,100,2068,7.9e-13,1.24e-12,"****"
"Transitivity","value","Af","EF",100,100,0,2.56e-34,8.95e-34,"****"
"Transitivity","value","Af","ET",100,100,0,2.56e-34,8.95e-34,"****"
"Transitivity","value","Am","Aw",100,100,3365,6.5e-05,8.64e-05,"****"
"Transitivity","value","Am","BSk",100,100,0,2.56e-34,8.95e-34,"****"
"Transitivity","value","Am","Cfa",100,100,7238,4.58e-08,6.41e-08,"****"
"Transitivity","value","Am","Cfb",100,100,7720,3.04e-11,4.43e-11,"****"
"Transitivity","value","Am","Csa",100,100,28,5.93e-34,1.45e-33,"****"
"Transitivity","value","Am","Csb",100,100,6947,1.97e-06,2.69e-06,"****"
"Transitivity","value","Am","Dfa",100,100,7034,6.74e-07,9.31e-07,"****"
"Transitivity","value","Am","Dfb",100,100,7569,3.48e-10,4.94e-10,"****"
"Transitivity","value","Am","Dfc",100,100,6413.5,0.000555,0.000694,"***"
"Transitivity","value","Am","Dwb",100,100,2202,8.18e-12,1.24e-11,"****"
"Transitivity","value","Am","Dwc",100,100,3308,3.58e-05,4.82e-05,"****"
"Transitivity","value","Am","EF",100,100,5,2.98e-34,8.95e-34,"****"
"Transitivity","value","Am","ET",100,100,0,2.56e-34,8.95e-34,"****"
"Transitivity","value","Aw","BSk",100,100,0,2.56e-34,8.95e-34,"****"
"Transitivity","value","Aw","Cfa",100,100,8323,4.73e-16,8.14e-16,"****"
